City,Station,Last Update,Latitude,Longitude,Pollutant ID,Pollutant Min,Pollutant Max,Pollutant Avg
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",09-07-2025 18:00:00,28.6811736,77.3025234,SO2,9,11,10
Delhi,"ITO, Delhi - CPCB",09-07-2025 18:00:00,28.628624,77.24106,PM2.5,9,120,57
Delhi,"ITO, Delhi - CPCB",09-07-2025 18:00:00,28.628624,77.24106,SO2,6,25,20
Delhi,"Jahangirpuri, Delhi - DPCC",09-07-2025 18:00:00,28.73282,77.170633,PM10,14,223,118
Delhi,"Jahangirpuri, Delhi - DPCC",09-07-2025 18:00:00,28.73282,77.170633,OZONE,13,34,20
Delhi,"Alipur, Delhi - DPCC",09-07-2025 18:00:00,28.815329,77.15301,OZONE,17,48,35
Delhi,"Anand Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.647622,77.315809,PM2.5,5,100,52
Delhi,"Anand Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.647622,77.315809,NO2,34,115,61
Delhi,"Ashok Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.695381,77.181665,NO2,12,84,27
Delhi,"Ashok Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.695381,77.181665,SO2,10,20,14
Delhi,"Aya Nagar, Delhi - IMD",09-07-2025 18:00:00,28.4706914,77.1099364,NO2,5,17,16
Delhi,"Aya Nagar, Delhi - IMD",09-07-2025 18:00:00,28.4706914,77.1099364,CO,26,54,31
Delhi,"Aya Nagar, Delhi - IMD",09-07-2025 18:00:00,28.4706914,77.1099364,OZONE,19,85,70
Delhi,"Bawana, Delhi - DPCC",09-07-2025 18:00:00,28.7762,77.051074,PM2.5,27,120,53
Delhi,"Bawana, Delhi - DPCC",09-07-2025 18:00:00,28.7762,77.051074,NO2,3,27,10
Delhi,"Bawana, Delhi - DPCC",09-07-2025 18:00:00,28.7762,77.051074,CO,24,50,29
Delhi,"Burari Crossing, Delhi - IMD",09-07-2025 18:00:00,28.7256504,77.2011573,OZONE,16,96,60
Delhi,"CRRI Mathura Road, Delhi - IMD",09-07-2025 18:00:00,28.5512005,77.2735737,CO,7,50,20
Delhi,"Chandni Chowk, Delhi - IITM",09-07-2025 18:00:00,28.656756,77.227234,OZONE,14,66,48
Delhi,"DTU, Delhi - CPCB",09-07-2025 18:00:00,28.7500499,77.1112615,CO,14,44,21
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",09-07-2025 18:00:00,28.498571,77.26484,NH3,5,10,8
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",09-07-2025 18:00:00,28.498571,77.26484,CO,36,74,53
Delhi,"Dwarka-Sector 8, Delhi - DPCC ",09-07-2025 18:00:00,28.5710274,77.0719006,PM10,7,169,84
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",09-07-2025 18:00:00,28.6811736,77.3025234,PM10,28,103,61
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",09-07-2025 18:00:00,28.6811736,77.3025234,NO2,53,83,70
Delhi,"ITO, Delhi - CPCB",09-07-2025 18:00:00,28.628624,77.24106,NO2,74,93,84
Delhi,"Jahangirpuri, Delhi - DPCC",09-07-2025 18:00:00,28.73282,77.170633,SO2,3,13,8
Delhi,"Jahangirpuri, Delhi - DPCC",09-07-2025 18:00:00,28.73282,77.170633,CO,28,117,58
Delhi,"Alipur, Delhi - DPCC",09-07-2025 18:00:00,28.815329,77.15301,CO,29,44,36
Delhi,"Anand Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.647622,77.315809,SO2,27,48,35
Delhi,"Ashok Vihar, Delhi - DPCC",09-07-2025 18:00:00,28.695381,77.181665,PM2.5,8,85,43
Delhi,"Burari Crossing, Delhi - IMD",09-07-2025 18:00:00,28.7256504,77.2011573,CO,29,63,37
Delhi,"CRRI Mathura Road, Delhi - IMD",09-07-2025 18:00:00,28.5512005,77.2735737,PM2.5,8,76,34
Delhi,"CRRI Mathura Road, Delhi - IMD",09-07-2025 18:00:00,28.5512005,77.2735737,PM10,15,122,79
Delhi,"CRRI Mathura Road, Delhi - IMD",09-07-2025 18:00:00,28.5512005,77.2735737,NO2,14,31,20
Delhi,"Chandni Chowk, Delhi - IITM",09-07-2025 18:00:00,28.656756,77.227234,NO2,37,92,54
Delhi,"DTU, Delhi - CPCB",09-07-2025 18:00:00,28.7500499,77.1112615,PM2.5,5,67,32
Delhi,"DTU, Delhi - CPCB",09-07-2025 18:00:00,28.7500499,77.1112615,NO2,21,29,24
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",09-07-2025 18:00:00,28.498571,77.26484,NO2,48,72,59
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",09-07-2025 18:00:00,28.498571,77.26484,SO2,1,10,6
Delhi,"Dwarka-Sector 8, Delhi - DPCC ",09-07-2025 18:00:00,28.5710274,77.0719006,NO2,13,88,44
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",09-07-2025 18:00:00,28.6811736,77.3025234,NH3,5,6,5
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",09-07-2025 18:00:00,28.6811736,77.3025234,CO,7,104,38
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",09-07-2025 18:00:00,28.6811736,77.3025234,OZONE,10,51,22
